,protocol,parameter,condition,ICC,good
70,Fixation_30s_PF,BCEA68_A_deg,WR,-0.022888884765353515,
71,Fixation_30s_PF,BCEA68_A_deg,SD,0.1415890759974806,
72,Fixation_30s_PF,BCEA95_HV_deg^2,WR,0.17292344633143455,
73,Fixation_30s_PF,BCEA95_HV_deg^2,SD,-0.010835888619842556,
74,Fixation_30s_PF,BCEA98_HV_deg^2,WR,0.17292344633143442,
75,Fixation_30s_PF,BCEA98_HV_deg^2,SD,-0.010835888619842544,
76,Fixation_30s_PF,P2_HV_%,WR,0.2288417330067464,
77,Fixation_30s_PF,P2_HV_%,SD,0.0020522808267487923,
78,Fixation_30s_PF,P4_HV_%,WR,0.11788526499210623,
79,Fixation_30s_PF,P4_HV_%,SD,-0.021313297373732724,
80,Fixation_30s_PF,fixation_stability_H_%,WR,0.5545644234495909,
81,Fixation_30s_PF,fixation_stability_H_%,SD,0.39530604594943075,
82,Fixation_30s_PF,fixation_stability_V_%,WR,0.36723244872918354,
83,Fixation_30s_PF,fixation_stability_V_%,SD,0.26344368331316187,
84,Fixation_30s_PF,blinks_count_HV_%,WR,0.7466491502311505,
85,Fixation_30s_PF,blinks_count_HV_%,SD,-0.021488197467747727,
86,Fixation_30s_PF,blinks_percentage_HV_%,WR,0.5917438269682262,
87,Fixation_30s_PF,blinks_percentage_HV_%,SD,-0.012495839758422592,
88,Fixation_30s_PF,blinks_frequency_HV_Hz,WR,0.7463736386403638,
89,Fixation_30s_PF,blinks_frequency_HV_Hz,SD,-0.02144040765080928,
90,Fixation_30s_PF,blinks_duration_HV_s,WR,0.5922087275884681,
91,Fixation_30s_PF,blinks_duration_HV_s,SD,-0.01248918142106045,
92,Fixation_30s_PF,drifts_count_HV_s,WR,0.5487612728802089,
93,Fixation_30s_PF,drifts_count_HV_s,SD,0.4686554063938248,
94,Fixation_30s_PF,drifts_percentage_HV_%,WR,0.5375485123378666,
95,Fixation_30s_PF,drifts_percentage_HV_%,SD,0.5128537739046455,
96,Fixation_30s_PF,drifts_frequency_HV_Hz,WR,0.5105452178948936,
97,Fixation_30s_PF,drifts_frequency_HV_Hz,SD,0.5610632102219573,
98,Fixation_30s_PF,drifts_duration_HV_s,WR,0.29649444512964407,
99,Fixation_30s_PF,drifts_duration_HV_s,SD,0.7235615529212868,
100,Fixation_30s_PF,saccades_count_HV_s,WR,0.5333838939019873,
101,Fixation_30s_PF,saccades_count_HV_s,SD,0.673463089870919,
102,Fixation_30s_PF,saccades_percentage_HV_%,WR,0.5020182782117281,
103,Fixation_30s_PF,saccades_percentage_HV_%,SD,0.4295659401841265,
104,Fixation_30s_PF,saccades_frequency_HV_Hz,WR,0.5910134481356353,
105,Fixation_30s_PF,saccades_frequency_HV_Hz,SD,0.5130877364816085,
106,Fixation_30s_PF,saccades_duration_HV_s,WR,0.47186778471065294,
107,Fixation_30s_PF,saccades_duration_HV_s,SD,0.6267071090718827,
108,Fixation_30s_PF,pso_count_HV_s,WR,0.6884206223683156,*
109,Fixation_30s_PF,pso_count_HV_s,SD,0.7211381332307989,*
110,Fixation_30s_PF,pso_percentage_HV_%,WR,0.6378759569705595,*
111,Fixation_30s_PF,pso_percentage_HV_%,SD,0.6359205815486473,*
